date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:03	134672/134672	---M--	200	added ('OK')	image/png	date:Thu,%2007%20Dec%202023%2003:16:14%20GMT	http://img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2021/vddenhat.png	D:/Game/Copier/TLBBVNG/img.zing.vn/upload/ks3d/source/Banner/banner-mainsite/2021/vddenhat.png	(from https://ttl3d.zing.vn/)
11:26:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:26:03%20GMT	http://ttl3d.zing.vn/bai-viet/huong-dan/huong-dan-dung-code-tai-npc-cung-thai-van.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/bai-viet/huong-dan/huong-dan-dung-code-tai-npc-cung-thai-van.2d.delayed	(from https://ttl3d.zing.vn/)
11:26:09	31095/31095	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/bai-viet/huong-dan/huong-dan-dung-code-tai-npc-cung-thai-van.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/bai-viet/huong-dan/huong-dan-dung-code-tai-npc-cung-thai-van.html	(from https://ttl3d.zing.vn/)
11:26:11	10407/10407	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/de-nhat-cao-thu-thien-long-37/tin-tuc/ket-qua-de-nhat-cao-thu-thien-long-37-vong-chung-ket.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/de-nhat-cao-thu-thien-long-37/tin-tuc/ket-qua-de-nhat-cao-thu-thien-long-37-vong-chung-ket.html	(from https://ttl3d.zing.vn/)
11:26:13	9651/9651	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/thien-giang-minh-chau-643/thien-giang-minh-chau-3408.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/thien-giang-minh-chau-643/thien-giang-minh-chau-3408.html	(from https://ttl3d.zing.vn/)
11:26:13	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:26:13%20GMT	http://ttl3d.zing.vn/tin-tuc/tin-tuc/10-01-thong-bao-bao-tri-may-chu.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/tin-tuc/10-01-thong-bao-bao-tri-may-chu.31.delayed	(from https://ttl3d.zing.vn/)
11:26:18	19396/19396	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/tin-tuc/tin-tuc/10-01-thong-bao-bao-tri-may-chu.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/tin-tuc/10-01-thong-bao-bao-tri-may-chu.html	(from https://ttl3d.zing.vn/)
11:26:21	277740/277740	---M--	200	added ('OK')	image/gif	date:Mon,%2007%20Aug%202023%2022:07:08%20GMT	http://img.zing.vn/products/ks3d/skin-2021/images/btn-download-game.gif	D:/Game/Copier/TLBBVNG/img.zing.vn/products/ks3d/skin-2021/images/btn-download-game.gif	(from https://ttl3d.zing.vn/)
11:26:21	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20Jan%202024%2004:26:21%20GMT	http://ttl3d.zing.vn/tin-tuc/tin-tuc/03-01-bao-tri-toan-bo-may-chu.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/tin-tuc/tin-tuc/03-01-bao-tri-toan-bo-may-chu.34.delayed	(from https://ttl3d.zing.vn/)
11:26:21	30187/30187	---MC-	200	added ('OK')	text/html		https://ttl3d.zing.vn/su-kien/de-nhat-cao-thu-thien-long-37/tin-tuc/ket-qua-de-nhat-cao-thu-thien-long-37-vong-so-loai.html	D:/Game/Copier/TLBBVNG/ttl3d.zing.vn/su-kien/de-nhat-cao-thu-thien-long-37/tin-tuc/ket-qua-de-nhat-cao-thu-thien-long-37-vong-so-loai.html	(from https://ttl3d.zing.vn/)
